scale,seed,mutual_information,action_autocorrelation,joint_return,reward_variance,defect_rate
1.0,0,0.0010404695204248404,0.0016692214602981171,2.159,0.4517189999999999,0.9735
1.0,1,0.00022852407832887954,-0.012198638418249556,2.139,0.40167900000000006,0.9765
1.0,2,0.0008971507358695105,-0.23562083392286323,3.045,2.082975,0.8225
1.0,3,0.00011317036382069596,-0.003087476101916551,2.1715,0.48708775000000004,0.97125
1.0,4,0.00018223551122073588,-0.2278394876547038,3.1055,2.11836975,0.81375
2.0,0,0.0010404695204248404,0.0016692214602981171,4.318,1.8068759999999997,0.9735
2.0,1,0.00022852407832887954,-0.012198638418249556,4.278,1.6067160000000003,0.9765
2.0,2,0.0008971507358695105,-0.23562083392286323,6.09,8.3319,0.8225
2.0,3,0.00011317036382069596,-0.003087476101916551,4.343,1.9483510000000002,0.97125
2.0,4,0.00018223551122073588,-0.2278394876547038,6.211,8.473479,0.81375
