kappa,budget,replicates,true_curvature,est_mean,bias,floor,sign_resolved
-2.0,9,1,-2.0,-2.0028272008376016,-0.0028272008376015734,0.6802242955574257,True
-2.0,27,3,-2.0,-1.9944076305852203,0.0055923694147796965,0.4037682213000464,True
-2.0,90,10,-2.0,-2.0035036281435925,-0.0035036281435925076,0.23108572493147805,True
-2.0,270,30,-2.0,-1.9981238590176138,0.0018761409823861985,0.12157301331879489,True
-2.0,900,100,-2.0,-2.0032869700369966,-0.003286970036996628,0.07397267025058696,True
-1.0,9,1,-1.0,-1.0336791948216726,-0.03367919482167259,0.6856945107317608,True
-1.0,27,3,-1.0,-0.9997064121429472,0.00029358785705280166,0.42485043750178825,True
-1.0,90,10,-1.0,-0.9954035226585012,0.004596477341498817,0.24090813879565304,True
-1.0,270,30,-1.0,-0.9995433758916747,0.00045662410832525424,0.1276974000296079,True
-1.0,900,100,-1.0,-0.9971651464284775,0.0028348535715224665,0.06592768675480332,True
-0.5,9,1,-0.5,-0.5124851667411909,-0.012485166741190934,0.7310328999705977,False
-0.5,27,3,-0.5,-0.5047867494506575,-0.00478674945065749,0.4040139308433937,True
-0.5,90,10,-0.5,-0.5043161282225384,-0.004316128222538351,0.20950865471009106,True
-0.5,270,30,-0.5,-0.5007597403240512,-0.000759740324051239,0.12877834746833483,True
-0.5,900,100,-0.5,-0.49932526610976735,0.0006747338902326483,0.07422960900458359,True
0.0,9,1,0.0,-0.0019760064602646625,-0.0019760064602646625,0.6560949345310729,False
0.0,27,3,0.0,0.001841194946123897,0.001841194946123897,0.41199531910572806,False
0.0,90,10,0.0,-0.0013013535874032555,-0.0013013535874032555,0.22319249572198854,False
0.0,270,30,0.0,0.0001044348696291771,0.0001044348696291771,0.1253233799390383,False
0.0,900,100,0.0,-0.002904619044266815,-0.002904619044266815,0.06711973013612842,False
0.5,9,1,0.5,0.49991284263556507,-8.715736443493105e-05,0.7161850748195502,False
0.5,27,3,0.5,0.5191985988861098,0.019198598886109752,0.42092433539936897,True
0.5,90,10,0.5,0.4987027186822077,-0.001297281317792276,0.21761338678347425,True
0.5,270,30,0.5,0.5015281687414466,0.0015281687414465672,0.13137072084690726,True
0.5,900,100,0.5,0.5007198475146007,0.0007198475146007466,0.08152980108923849,True
1.0,9,1,1.0,1.0103146558341836,0.010314655834183561,0.7107537928156566,True
1.0,27,3,1.0,0.9946271242820143,-0.005372875717985726,0.40851396380224847,True
1.0,90,10,1.0,0.9967432038025285,-0.0032567961974715454,0.21124064438169138,True
1.0,270,30,1.0,0.9977043172032583,-0.0022956827967417492,0.13411983866897037,True
1.0,900,100,1.0,0.9993710329715115,-0.0006289670284884696,0.07091893125114113,True
2.0,9,1,2.0,2.0076525155086093,0.007652515508609348,0.6861236590986711,True
2.0,27,3,2.0,1.9893617199297557,-0.010638280070244255,0.4203834843455697,True
2.0,90,10,2.0,2.00561669465418,0.005616694654179799,0.2238229309331201,True
2.0,270,30,2.0,2.000052607455854,5.260745585378146e-05,0.12618954833508167,True
2.0,900,100,2.0,2.003173031734773,0.003173031734772902,0.07153526718012271,True
